"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1970",104205.83046731,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1971",109610.49008518,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1972",116154.53695009,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1973",120294.99887945,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1974",127762.51701502,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1975",132701.62527863,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1976",137556.26942019,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1977",143460.2802942,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1978",148114.95592607,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1979",152116.71774131,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1980",153095.84484969,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1981",155857.78640102,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1982",163510.5629075,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1983",165265.41937986,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1984",173548.69092661,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1985",180955.28155487,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1986",187053.9965115,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1987",191812.31692943,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1988",201488.69718472,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1989",211273.22326528,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1990",217782.78066323,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1991",217525.22468236,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1992",221074.0901979,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1993",227315.24876517,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1994",232453.46225845,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1995",238963.52441397,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1996",242623.35934663,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1997",244099.16400897,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1998",246473.88458019,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1999",251909.8670868,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2000",256800.81626319,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2001",254423.55150096,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2002",260515.12168066,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2003",267138.42377927,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2004",279132.16280033,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2005",279904.66803909,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2006",275485.19979078,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2007",278975.22244898,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2008",280777.91301449,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2009",280001.31220137,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2010",281717.09803395,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2011",284570.70746956,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2012",287258.44728209,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2013",293035.13261264,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2014",297589.77037617,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2015",300781.96445697,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2016",302478.20217269,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2017",303655.13465229,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2018",304707.07363096,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2019",303545.76721484,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2020",277592.02507965,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2021",275308.57828349,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2022",264245.2237274,"E"
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1970",34859,"E"
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1971",37739,"E"
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1972",41050,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1973",42780,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1974",44868,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1975",46436,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1976",48409,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1977",50379,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1978",52171,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1979",53920,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1980",55985,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1981",57702,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1982",59179,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1983",60774,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1984",62634,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1985",63241,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1986",64491,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1987",66036,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1988",66288,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1989",67111,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1990",67722,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1991",68032,
"AUT","PASSTRANSP","ROAD","MLN_PKM","A","1992",68200,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1970",58576,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1971",59759,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1972",62664,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1973",64578,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1974",66742,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1975",67159,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1976",69069,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1977",72094,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1978",73137,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1979",75760,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1980",74451,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1981",75684,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1982",75285,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1983",75172,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1984",75862,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1985",76326,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1986",77408,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1987",80440,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1988",83173,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1989",86155,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1990",92158,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1991",93322,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1992",94748,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1993",98474,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1994",101497,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1995",104228,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1996",104096,
"BEL","PASSTRANSP","ROAD","MLN_PKM","A","1997",107343,
